feature_id,year,value,country_code,month
2,2010,1394000.0,ABW,
2,2011,1469000.0,ABW,
2,2012,1481000.0,ABW,
2,2013,1667000.0,ABW,
2,2014,1739000.0,ABW,
2,2015,1832000.0,ABW,
2,2016,1758000.0,ABW,
2,2017,1863000.0,ABW,
2,2018,1897000.0,ABW,
2,2019,1951000.0,ABW,
2,2020,,ABW,
2,2010,29071501.0,AFE,
2,2011,31650244.0,AFE,
2,2012,32748552.0,AFE,
2,2013,34426633.0,AFE,
2,2014,35738392.0,AFE,
2,2015,35318681.0,AFE,
2,2016,37645888.0,AFE,
2,2017,38258348.0,AFE,
2,2018,41189145.0,AFE,
2,2019,39826701.0,AFE,
2,2020,,AFE,
2,2010,,AFG,
2,2011,,AFG,
2,2012,,AFG,
2,2013,,AFG,
2,2014,,AFG,
2,2015,,AFG,
2,2016,,AFG,
2,2017,,AFG,
2,2018,,AFG,
2,2019,,AFG,
2,2020,,AFG,
2,2010,11070796.0,AFW,
2,2011,8902380.0,AFW,
2,2012,10221030.0,AFW,
2,2013,10085819.0,AFW,
2,2014,10544624.0,AFW,
2,2015,13311682.0,AFW,
2,2016,13150775.0,AFW,
2,2017,,AFW,
2,2018,,AFW,
2,2019,,AFW,
2,2020,,AFW,
2,2010,425000.0,AGO,
2,2011,481000.0,AGO,
2,2012,528000.0,AGO,
2,2013,650000.0,AGO,
2,2014,595000.0,AGO,
2,2015,592000.0,AGO,
2,2016,397000.0,AGO,
2,2017,261000.0,AGO,
2,2018,218000.0,AGO,
2,2019,218000.0,AGO,
2,2020,,AGO,
2,2010,2417000.0,ALB,
2,2011,2932000.0,ALB,
2,2012,3514000.0,ALB,
2,2013,3256000.0,ALB,
2,2014,3673000.0,ALB,
2,2015,4131000.0,ALB,
2,2016,4736000.0,ALB,
2,2017,5118000.0,ALB,
2,2018,5927000.0,ALB,
2,2019,6406000.0,ALB,
2,2020,,ALB,
2,2010,8551000.0,AND,
2,2011,7983000.0,AND,
2,2012,7900000.0,AND,
2,2013,7676000.0,AND,
2,2014,7797000.0,AND,
2,2015,7850000.0,AND,
2,2016,8025000.0,AND,
2,2017,8152000.0,AND,
2,2018,8328000.0,AND,
2,2019,8235000.0,AND,
2,2020,,AND,
2,2010,100534799.0,ARB,
2,2011,84657022.0,ARB,
2,2012,94573457.0,ARB,
2,2013,94519122.0,ARB,
2,2014,100719165.0,ARB,
2,2015,96757391.0,ARB,
2,2016,94989926.0,ARB,
2,2017,101336098.0,ARB,
2,2018,109134075.0,ARB,
2,2019,116080347.0,ARB,
2,2020,,ARB,
2,2010,,ARE,
2,2011,,ARE,
2,2012,,ARE,
2,2013,,ARE,
2,2014,16232000.0,ARE,
2,2015,17472000.0,ARE,
2,2016,18967000.0,ARE,
2,2017,20394000.0,ARE,
2,2018,21286000.0,ARE,
2,2019,21553000.0,ARE,
2,2020,,ARE,
